"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","/usr/local/lib/R/site-library","1.4-8",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"AnnotationDbi","/usr/local/lib/R/site-library","1.72.0",NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"AnnotationFilter","/usr/local/lib/R/site-library","1.34.0",NA,"R (>= 3.4.0)","utils, methods, GenomicRanges, lazyeval",NA,"BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db, rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"ape","/usr/local/lib/R/site-library","5.8-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn, xml2",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"arrow","/usr/local/lib/R/site-library","22.0.0",NA,"R (>= 4.1)","assertthat, bit64 (>= 0.9-7), glue, methods, purrr, R6, rlang
(>= 1.0.0), stats, tidyselect (>= 1.0.0), utils, vctrs","cpp11 (>= 0.4.2)","blob, curl, cli, DBI, dbplyr, decor, distro, dplyr, duckdb
(>= 0.2.8), hms, jsonlite, knitr, lubridate, pillar, pkgload,
reticulate, rmarkdown, stringi, stringr, sys, testthat (>=
3.1.0), tibble, tzdb, withr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.5.1"
"askpass","/usr/local/lib/R/site-library","1.2.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"assertthat","/usr/local/lib/R/site-library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.1"
"assorthead","/usr/local/lib/R/site-library","1.4.0",NA,NA,NA,NA,"knitr, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"Azimuth","/usr/local/lib/R/site-library","0.5.0",NA,"R (>= 4.0.0)","BSgenome.Hsapiens.UCSC.hg38, DT (>= 0.15), EnsDb.Hsapiens.v86,
future (>= 1.19.1), ggplot2 (>= 3.3.2), glmGamPoi (>= 1.0.0),
googlesheets4 (>= 0.2.0), hdf5r (>= 1.3.2), htmltools (>=
0.5.0), httr (>= 1.4.2), JASPAR2020, jsonlite (>= 1.7.0),
Matrix (>= 1.2.18), methods, patchwork (>= 1.0.1), presto, Rcpp
(>= 1.0.7), rlang (>= 0.4.8), scales (>= 1.1.1), Seurat (>=
5.0.0), SeuratDisk, SeuratObject (>= 5.0.0), SeuratData, shiny
(>= 1.5.0), shinyBS (>= 0.61), shinydashboard (>= 0.7.1),
shinyjs (>= 2.0.0), Signac (>= 1.12.0), stats, stringr (>=
1.4.0), TFBSTools, tools, utils, plotly, withr (>= 2.3.0)","Rcpp(>= 0.11.0)",NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"base64enc","/usr/local/lib/R/site-library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.1"
