,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FAM153B,7.70496652874449e-06,0.0162604221135267,1,1,0.172945678704199
SLC9A3,1.83643646419821e-05,-0.392966618518062,1,1,0.412206528753929
C19orf33,2.4522440961435e-05,-0.735761950558219,1,1,0.550430709820369
IGLV8-61,2.9451768852218e-05,-3.33363291573654,1,1,0.661074403656884
AC104695.4,6.83797038892645e-05,-0.771351178815183,1,1,1
IGKV1-27,7.33751867545301e-05,1.81564288251636,1,1,1
NBPF1,9.50304201433993e-05,-0.202377982268017,1,1,1
AP002807.1,0.00013485843425791,-0.683813019025322,1,1,1
DHRS3,0.000151845639988237,-0.0717847003796248,1,1,1
PADI4,0.000216001618259218,-0.726852941291491,1,1,1
LINC01237,0.000365574337648937,-0.415500328069065,1,1,1
COL6A2,0.000398135346632539,0.114012749459459,1,1,1
ARHGEF40,0.000422063246352407,-0.605357214867662,1,1,1
CD84,0.000454014438565004,-0.518648346406394,1,1,1
PCBD1,0.000613653206120309,-0.52278070367242,1,1,1
AC025580.2,0.000687786507370302,-0.607785283984124,1,0.6,1
LRP3,0.000721522284799462,-0.697438950273483,1,1,1
PLD5,0.000793147713378952,-0.653634763696815,0.75,0,1
LINC01220,0.000815020580058303,-0.744627475822807,1,1,1
AC055839.2,0.000849242738157671,-0.65806739522389,1,1,1
ZNF600,0.000895163128585792,-0.5650359300923,1,1,1
IFI27L2,0.000909547751401395,-0.433707086970381,1,1,1
AC090630.1,0.000988131403984829,-0.695190632278984,0.125,0.8,1
HIST1H2BH,0.00102525154207526,-0.668698305980011,1,1,1
NELFB,0.00107438755000992,-0.559872878473918,1,1,1
PNMA5,0.00111926786074274,-0.701112798012033,1,1,1
ASAP1-IT2,0.00121548904326605,-0.701558741570222,1,1,1
PLK2,0.00124110683056137,-0.18533520460087,1,1,1
ANKRD13C,0.00128108818452585,-0.0941331668458696,1,1,1
IL1B,0.00131023113932563,1.36222566738248,1,1,1
LY6K,0.00132766453501725,-0.653481318699254,0.75,0,1
BAIAP2-DT,0.00136921049993274,-0.666254503872597,1,1,1
BX284668.5,0.00141989660729183,-0.646669995946556,1,1,1
C6orf223,0.00148831566461819,-0.649304484852192,1,0.2,1
BTBD9,0.00148880563012943,-0.195054016219736,1,1,1
PPP2CB,0.00149447264460674,-0.621827076000315,1,1,1
AC078795.1,0.00152036892055006,-0.579566914267942,1,1,1
IGLV3-10,0.00161783045731453,2.24802039060461,0.875,1,1
SNHG5,0.00162677870346197,-0.796440318366835,1,1,1
SRPRA,0.00180807094097263,0.035380478965664,1,1,1
LAMB3,0.00187820817272714,-0.508420211873951,1,1,1
HIST1H4F,0.0018853703267131,-0.663840330863487,1,1,1
CCT6B,0.00195613604972076,-0.492790410163764,1,1,1
STXBP1,0.00208794361825498,-0.492750591036881,1,1,1
NBPF12,0.00211667018337877,-0.0408973929825207,1,1,1
IGHV3-49,0.0021170236240696,0.59679715515083,1,1,1
MN1,0.00213431237600004,-0.441239014872596,1,1,1
AC008676.1,0.00216305259004239,-0.656455788250007,0.875,0,1
NOL3,0.00218090444818969,-0.694293984192625,1,1,1
SCN1B,0.00220811229561454,-0.686709566695147,1,1,1
NUDT2,0.00226396633790886,0.0397471509575418,1,1,1
UBQLN1,0.00231515156693139,0.0126220885223972,1,1,1
BTBD2,0.0023632496132305,-0.520096476757419,1,1,1
GABPB1,0.00236493787387053,-0.148325157060532,1,1,1
AC017083.1,0.00248374037784293,-0.687725995712841,1,1,1
IGLV2-11,0.00256462022118676,1.94040879126128,1,1,1
LINC01736,0.00260162929999601,-0.694319010638367,0.625,1,1
IGHV1-2,0.00263734217785829,1.58884310352117,1,1,1
NUTM2B-AS1,0.00264158413672216,0.0635590329181672,1,1,1
AC012615.5,0.00270251506754279,-0.635093686142385,1,1,1
AP000704.1,0.00272253753490883,-0.574280892524008,1,1,1
CCDC149,0.00282122451913568,-0.685820524298193,1,1,1
MS4A6A,0.00292387816127647,-0.559126660836313,1,1,1
PLA1A,0.00299576831414688,-0.634156432236358,1,0.4,1
AAMDC,0.00300832562990963,-0.573410846680781,1,1,1
NHLRC3,0.00312061960306665,-0.483725213480032,1,1,1
LINC01750,0.00313734445321027,-0.696904458695216,0.375,0.8,1
ICAM1,0.0031440506723514,0.240384438661986,1,1,1
FP565260.3,0.00337725055069972,-0.579177024051463,1,1,1
AC027601.1,0.00345954608730775,-0.691217116620623,0.125,1,1
BX088651.4,0.00351306678316437,-0.584147013674258,1,0.8,1
NFIB,0.00353322673106648,-0.690927600740412,0.125,1,1
PPP1R9B,0.00366476584370938,-0.434740898691678,1,1,1
NCAM1-AS1,0.00366835227330073,-0.661767529575624,0.875,0,1
AL135905.2,0.00377374915579231,0.285667330791577,1,1,1
ZC3HAV1,0.00380642252046726,0.19207930302864,1,1,1
CDC42BPG,0.00403220298950382,-0.561994048405425,1,1,1
BX284668.6,0.00411081721274051,-0.664619771826736,1,1,1
PELI3,0.00416827358410111,-0.677536923540407,1,1,1
