,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TMSB4X,1.07995718023108e-278,-0.237042348517367,0.993,0.996,2.42407188674667e-274
TMSB10,6.59476759513163e-277,-0.26938167706612,0.99,0.993,1.48026153440325e-272
RPS3A,5.90519255108723e-266,0.254946332030989,0.992,0.986,1.32547952001704e-261
MT-ND4L,1.59031931002423e-217,0.215755319791439,0.991,0.973,3.56963072328039e-213
SARAF,1.14296333668681e-166,0.38140536101894,0.783,0.723,2.56549550552722e-162
MT-ATP8,8.54861894639096e-160,0.277388959654718,0.919,0.872,1.91882300870691e-155
ATP5F1E,4.30886733143334e-154,-0.272696702122461,0.853,0.897,9.67168361213527e-150
PABPC1,5.06464145002383e-151,0.240970908996016,0.924,0.896,1.13680941987235e-146
ZNF331,8.79783035622342e-144,0.856008684585712,0.242,0.152,1.97476100175791e-139
CYBA,6.34090385928242e-142,-0.395524801177022,0.532,0.623,1.42327928025453e-137
ZFP36L2,6.14638049533175e-134,0.312938369831004,0.827,0.79,1.37961656598216e-129
EEF2,1.03286029184225e-133,0.220549308800897,0.919,0.88,2.3183582110691e-129
MT-CYB,3.19162113691077e-130,0.163576717598187,0.992,0.98,7.16391280390992e-126
EEF1A1,1.01716790396744e-125,0.132798130833755,0.999,0.999,2.28313507724531e-121
RPL3,5.3967282438781e-108,0.166999289098816,0.969,0.956,1.21134962162088e-103
TNFAIP3,1.26601084203926e-107,0.421334026130592,0.52,0.431,2.84168793604133e-103
RPL8,3.87933561596279e-102,0.147644486060527,0.988,0.984,8.70755672359008e-98
MT-CO2,4.52882169528017e-100,0.121211642737055,1,1,1.01653931772259e-95
CREM,1.18851762022582e-91,0.820914553567216,0.178,0.113,2.66774665035887e-87
PIK3IP1,5.5266292784535e-91,0.498253487778261,0.362,0.283,1.24050720784167e-86
CD55,3.10345385897685e-88,0.473420598341238,0.34,0.261,6.96601253185943e-84
PIK3R1,6.81720296287248e-86,0.528993153307865,0.361,0.286,1.53018937704636e-81
EIF1,1.87125938284613e-85,0.142236354995009,0.986,0.98,4.20022881073642e-81
HLA-B,4.2652895145645e-84,-0.173390165220563,0.989,0.992,9.57386884439148e-80
SNHG5,1.02267724296587e-83,-0.496280122565303,0.239,0.311,2.29550133956119e-79
FAM153B,2.97878534319341e-81,2.18675724367221,0.034,0.008,6.68618158133193e-77
PFN1,6.33867976536248e-78,-0.203134210055836,0.867,0.9,1.42278006013326e-73
PRMT2,2.61293563438884e-77,0.433402645677908,0.354,0.281,5.86499532494919e-73
RPLP0,3.93821357341706e-76,0.155144297642241,0.958,0.953,8.83971418689193e-72
