group,names,scores,logfoldchanges,pvals,pvals_adj
0,LYZ,131.91652,8.317398,0.0,0.0
0,S100A9,130.75548,8.433819,0.0,0.0
0,S100A8,130.43611,9.00392,0.0,0.0
0,NEAT1,127.84679,4.39477,0.0,0.0
0,FCN1,127.385284,6.848911,0.0,0.0
0,CST3,127.34875,6.463455,0.0,0.0
0,FTL,126.82644,3.2666552,0.0,0.0
0,IFI30,126.611786,6.0680313,0.0,0.0
0,TYROBP,125.73244,5.0958548,0.0,0.0
0,CTSS,125.50507,4.4924397,0.0,0.0
0,S100A6,124.135796,3.2503574,0.0,0.0
0,FTH1,122.55426,3.0136623,0.0,0.0
0,VCAN,121.81128,7.9389796,0.0,0.0
0,SAT1,121.15456,3.9888623,0.0,0.0
0,PSAP,120.27202,3.7261012,0.0,0.0
0,NAMPT,119.63289,5.097004,0.0,0.0
0,AIF1,119.45568,4.4239798,0.0,0.0
0,LST1,118.51873,4.7596087,0.0,0.0
0,TYMP,117.24291,4.7070456,0.0,0.0
0,FCER1G,115.27623,4.576532,0.0,0.0
0,S100A11,114.25269,3.6391919,0.0,0.0
0,CSF3R,113.52004,7.005818,0.0,0.0
0,SERPINA1,113.31928,5.3482866,0.0,0.0
0,SPI1,113.18671,4.887815,0.0,0.0
0,CD14,112.99075,7.3856606,0.0,0.0
0,FOS,111.71063,2.9601398,0.0,0.0
0,TSPO,111.250916,3.2449698,0.0,0.0
0,GABARAP,110.68584,2.5681205,0.0,0.0
0,CSTA,109.8113,6.1370234,0.0,0.0
0,COTL1,109.27132,3.0217602,0.0,0.0
0,GRN,108.73707,4.535661,0.0,0.0
0,FOSB,107.297615,3.234253,0.0,0.0
0,MT-ND4,107.29607,1.7899404,0.0,0.0
0,TKT,106.91914,3.2670605,0.0,0.0
0,S100A12,106.79415,8.171691,0.0,0.0
0,CD68,105.80865,4.866126,0.0,0.0
0,SRGN,105.80727,2.510386,0.0,0.0
0,S100A4,105.21845,2.569962,0.0,0.0
0,LGALS1,103.61158,3.1781075,0.0,0.0
0,MT-ND2,101.78449,1.6515583,0.0,0.0
0,PTPRE,101.550674,3.9730816,0.0,0.0
0,APLP2,101.376595,4.270811,0.0,0.0
