index,0
GSM6817432,"[29, 37, 149, 172, 217, 221, 230, 232, 250, 298, 345, 355, 358, 362, 365, 434, 448, 490, 493, 545, 568, 576, 590, 608, 639, 647, 685, 754, 788, 799, 801, 828, 847, 896, 934, 954, 975, 1004, 1014, 1024, 1048, 1095, 1101, 1107, 1121, 1162, 1175, 1187, 1215, 1218, 1222, 1237, 1241, 1251, 1284, 1289, 1361, 1419, 1542, 1605, 1660, 1676, 1681, 1705, 1734, 1768, 1803, 1819, 1828, 1839, 1906, 1919, 1934, 2004, 2009, 2021, 2032, 2035, 2044, 2062, 2120, 2126, 2131, 2190, 2193, 2219, 2224, 2239, 2243, 2263, 2269, 2287, 2300, 2325, 2354, 2384, 2439, 2478, 2492, 2510, 2523, 2558, 2562, 2578, 2588, 2600, 2603, 2668, 2674, 2698, 2700, 2730, 2778, 2789, 2790, 2885, 2895, 2914, 2950, 2959, 2964, 2985, 3029, 3032, 3045, 3054, 3059, 3070, 3083, 3094, 3136, 3219, 3242, 3322, 3324, 3346, 3411, 3420, 3422, 3450, 3457, 3460, 3471, 3483, 3504, 3507, 3536, 3571, 3595, 3644, 3646, 3650, 3670, 3672, 3706, 3712, 3736, 3755, 3786, 3859, 3905, 3914, 3930, 3935, 3952, 3975, 3994, 3996, 4000, 4011, 4039, 4054, 4072, 4162, 4193, 4231, 4260, 4272, 4282, 4303, 4304, 4318, 4319, 4327, 4330, 4405, 4417, 4423, 4426, 4432, 4450, 4458, 4472, 4480, 4516, 4517, 4549, 4571, 4572, 4602, 4611, 4635, 4639, 4645, 4650, 4680, 4693, 4704, 4714, 4741, 4758, 4805, 4891, 4899, 4923, 4931, 4945, 4963, 4986, 5048, 5049, 5081, 5107, 5137, 5141, 5146, 5166]"
GSM6817433,"[15, 16, 41, 62, 68, 90, 99, 102, 212, 214, 241, 269, 273, 363, 371, 462, 491, 524, 529, 583, 675, 684, 746, 789, 793, 815, 836, 845, 888, 892, 929, 939, 965, 978, 1003, 1046, 1073, 1159, 1181, 1224, 1292, 1301, 1307, 1330, 1334, 1350, 1373, 1394, 1433, 1485, 1496, 1502, 1580, 1656, 1739, 1783, 1797, 1822, 1826, 1836, 1856, 1871, 1873, 1916, 1928, 1970, 2057, 2070, 2071, 2092, 2115, 2154, 2165, 2227, 2292, 2336, 2353, 2402, 2410, 2429, 2441, 2468, 2491, 2533, 2534, 2584, 2618, 2630, 2663, 2719, 2747, 2786, 2797, 2830, 2885, 2896, 2982, 3181, 3269, 3287, 3296, 3321, 3333, 3361, 3417, 3427, 3430, 3473, 3517, 3592, 3642, 3657, 3699, 3703, 3734, 3735, 3742, 3744, 3774]"
GSM6817434,"[5, 84, 122, 182, 197, 216, 256, 282, 314, 376, 453, 463, 466, 488, 522, 598, 634, 636, 652, 661, 674, 715, 728, 812, 830, 905, 919, 941, 968, 1046, 1059, 1162, 1200, 1224, 1238, 1245, 1295, 1303, 1331, 1343, 1394, 1396, 1401, 1418, 1428, 1439, 1479, 1498, 1532, 1636, 1659, 1662, 1697, 1714, 1726, 1744, 1749, 1754, 1782, 1787, 1849, 1893, 1941, 1989, 2039, 2040, 2044, 2086, 2089, 2130, 2179, 2200, 2239, 2278, 2315, 2349, 2368, 2399, 2426, 2430, 2490, 2614, 2651, 2680, 2721, 2754, 2795, 2864, 2891, 2933, 2936, 2943, 2991, 3000, 3020, 3059, 3092, 3120, 3141, 3147, 3195, 3205, 3217, 3224, 3261, 3263, 3280, 3324, 3325, 3332, 3377, 3440, 3452, 3453, 3479, 3550, 3560, 3591, 3638, 3654, 3722, 3757, 3856, 3875, 3910, 3916, 3931, 4011, 4151, 4207, 4215, 4237, 4325, 4330, 4358, 4419, 4435, 4467, 4514, 4529, 4550, 4611, 4617, 4635, 4657, 4668, 4670, 4708, 4738]"
GSM6817435,"[58, 59, 93, 133, 156, 166, 174, 194, 238, 267, 285, 296, 317, 332, 384, 404, 419, 487, 495, 508, 565, 568, 570, 581, 596, 654, 702, 725, 736, 784, 794, 834, 863, 878, 885, 939, 944, 953, 981, 1018, 1035, 1042, 1110, 1150, 1213, 1234, 1290, 1292, 1298, 1327, 1340, 1349, 1370, 1386, 1403, 1426, 1436, 1445, 1520, 1552, 1674, 1677, 1709, 1724, 1795, 1815, 1838, 1870, 1932, 1947, 1980, 1983, 1986, 1988, 2055, 2065, 2082, 2197, 2201, 2214, 2225, 2226, 2250, 2268, 2279, 2304, 2366, 2396, 2485, 2533, 2551, 2561, 2593, 2609, 2610, 2633, 2653, 2686, 2690, 2724, 2753, 2780, 2793, 2810, 2824, 2943, 2960, 2967, 3018, 3037, 3043, 3051, 3125, 3139, 3175, 3297, 3316, 3325, 3354, 3368, 3375, 3423, 3452, 3541, 3600, 3698, 3702, 3718, 3729, 3749, 3821, 3863, 3866, 3880, 3915, 3929, 3958, 4014, 4019, 4043, 4071, 4139, 4174, 4196, 4220, 4250, 4251, 4298, 4304, 4328, 4359, 4385, 4403]"
GSM6817436,"[46, 86, 133, 283, 284, 332, 383, 388, 401, 421, 455, 547, 580, 593, 619, 624, 660, 687, 765, 813, 835, 843, 889, 901, 948, 952, 965, 986, 1001, 1007, 1067, 1092, 1094, 1117, 1126, 1131, 1169, 1228, 1259, 1263, 1272, 1289, 1303, 1305, 1309, 1368, 1392, 1419, 1465, 1489, 1496, 1498, 1518, 1522, 1539, 1608, 1611, 1672, 1801, 1822, 1834, 1843, 1852, 1864, 1881, 1931, 1938, 1944, 2034, 2035, 2037, 2061, 2069, 2087, 2113, 2171, 2228, 2239, 2260, 2269, 2270, 2275, 2336, 2348, 2361, 2368, 2381, 2402, 2468, 2517, 2520, 2526, 2527, 2545, 2554, 2571, 2598, 2604, 2626, 2639, 2647, 2662, 2663, 2667, 2752, 2798, 2816, 2888, 2913, 2964, 2989, 2991, 3095, 3100, 3112, 3134, 3168, 3200, 3253, 3282, 3342, 3353, 3383, 3385, 3398, 3436, 3469, 3470, 3496, 3557, 3568, 3688, 3739, 3798, 3902, 3949, 3962, 3981, 4032, 4065, 4101, 4106, 4183, 4198, 4211, 4239, 4328, 4340, 4406, 4408, 4462, 4503, 4538, 4572, 4602, 4604, 4702, 4797, 4838, 4874, 4902, 4961, 5033, 5052, 5065, 5131, 5159, 5189, 5234, 5282, 5285, 5286, 5292, 5384]"
GSM6817424,"[72, 83, 92, 113, 156, 161, 182, 216, 316, 336, 351, 398, 442, 484, 514, 529, 558, 603, 667, 686, 689, 694, 722, 731, 757, 764, 765, 807, 810, 817, 866, 915, 953, 958, 960, 965, 967, 1041, 1044, 1069, 1104, 1116, 1177, 1213, 1222, 1224, 1235, 1260, 1264, 1322, 1324, 1384, 1409, 1537, 1543, 1549, 1552, 1584, 1594, 1604, 1755, 1759, 1784, 1834, 1880, 1888, 1900, 1958, 2114, 2126, 2129, 2133, 2144, 2161, 2181, 2287, 2293, 2296, 2328, 2332, 2354, 2392, 2396, 2413, 2416, 2417, 2431, 2436, 2466, 2511, 2542, 2566, 2597, 2647, 2686, 2709, 2721, 2764, 2770, 2773, 2794, 2801, 2910, 2947, 2960, 2987, 3031, 3061, 3068, 3080, 3106, 3118, 3131, 3140, 3164, 3175, 3194, 3228, 3262, 3277, 3289, 3344, 3346, 3350, 3363, 3391, 3449, 3500, 3525, 3545, 3583, 3630, 3648, 3683, 3694, 3711, 3726, 3777, 3812, 3836, 3838, 3844, 3875, 3886, 3896, 3946, 4001, 4004, 4009, 4068, 4070, 4082, 4111, 4151, 4185, 4186, 4276, 4294, 4396, 4399, 4408, 4411, 4424, 4430]"
GSM6817425,"[10, 21, 62, 73, 95, 109, 135, 161, 239, 257, 258, 287, 315, 328, 356, 378, 391, 467, 476, 485, 491, 493, 498, 511, 520, 531, 558, 585, 591, 642, 650, 707, 731, 757, 818, 837, 878, 911, 920, 933, 942, 953, 958, 966, 995, 1011, 1068, 1080, 1088, 1139, 1144, 1185, 1202, 1203, 1213, 1219, 1296, 1299, 1363, 1375, 1381, 1391, 1415, 1440, 1539, 1541, 1542, 1553, 1576, 1585, 1642, 1703, 1769, 1785, 1802, 1842, 1864, 1937, 1998, 2021, 2061, 2065, 2156, 2160, 2165, 2250, 2263, 2301, 2448, 2471, 2481, 2499, 2562, 2579, 2623, 2636, 2689, 2692, 2713, 2722, 2775, 2800, 2806, 2819, 2857, 2877, 2927, 2934, 2936, 2952, 3000, 3069, 3089, 3098, 3106, 3162, 3274, 3294, 3296, 3343, 3452, 3474, 3481, 3490, 3494, 3510, 3543, 3566, 3640, 3654, 3656, 3674, 3692, 3736, 3779, 3821, 3829, 3836, 3875, 3911, 3912, 3926, 3942, 3943, 3962, 3985, 4003, 4015, 4067, 4114, 4119, 4127, 4138, 4194, 4197]"
GSM6817426,"[22, 58, 197, 203, 227, 235, 254, 276, 300, 305, 336, 341, 351, 361, 362, 387, 403, 447, 524, 535, 557, 561, 599, 616, 625, 688, 738, 746, 747, 751, 762, 771, 786, 796, 840, 891, 915, 943, 953, 1003, 1046, 1084, 1130, 1131, 1188, 1200, 1205, 1226, 1229, 1320, 1329, 1340, 1369, 1381, 1396, 1405, 1432, 1438, 1440, 1489, 1533, 1549, 1577, 1635, 1707, 1714, 1725, 1758, 1784, 1787, 1827, 1840, 1848, 1926, 1941, 1945, 1969, 1994, 2001, 2008, 2009, 2024, 2101, 2140, 2203, 2237, 2269, 2283, 2369, 2416, 2423, 2461, 2487, 2513, 2523, 2602, 2628, 2630, 2643, 2656, 2677, 2718, 2727, 2756, 2809, 2818, 2841, 2844, 2897, 2917, 2928, 2934, 2954, 2958, 2997, 3025, 3041, 3046, 3080, 3094, 3100, 3137, 3163, 3177, 3180, 3203, 3217, 3233, 3279, 3282, 3283, 3290, 3324, 3364, 3371, 3395, 3415, 3434, 3436, 3481, 3495, 3532, 3574, 3596, 3629, 3631, 3642, 3653, 3683, 3687, 3691, 3767, 3787, 3813, 3830, 3837, 3839, 3854, 3920, 4034, 4050, 4062, 4063, 4077, 4089, 4131, 4140, 4155, 4162, 4164, 4219, 4234, 4256, 4282, 4297, 4315, 4328, 4341, 4343, 4356, 4423, 4426, 4555, 4580, 4617, 4620, 4644, 4672, 4684, 4699]"
GSM6817427,"[13, 15, 36, 60, 128, 132, 142, 157, 171, 183, 192, 206, 214, 252, 333, 354, 371, 406, 438, 443, 456, 458, 463, 484, 513, 563, 605, 643, 676, 708, 712, 745, 767, 784, 786, 818, 820, 825, 830, 835, 849, 866, 872, 885, 900, 903, 904, 941, 974, 977, 986, 997, 1006, 1008, 1023, 1054, 1096, 1121, 1128, 1154, 1211, 1214, 1215, 1258, 1282, 1292, 1322, 1335, 1341, 1350, 1355, 1359, 1397, 1452, 1461, 1465, 1475, 1488, 1547, 1552, 1576, 1610, 1636, 1659, 1681, 1692, 1704, 1708, 1724, 1738, 1752, 1796, 1837, 1855, 1856, 1864, 1898, 1915, 1921, 1962, 2019, 2034, 2041, 2051, 2066, 2072, 2078, 2111, 2117, 2125, 2142, 2183, 2194, 2195, 2211, 2220, 2225, 2284, 2285, 2324, 2340, 2365, 2369, 2400, 2424, 2445, 2462, 2503, 2520, 2527, 2588, 2600, 2621, 2640, 2647, 2657, 2703, 2726, 2746, 2793, 2799, 2807, 2819, 2822, 2836, 2943, 2953, 2975, 2980, 2992, 3050, 3054, 3057, 3122, 3129, 3178, 3259, 3269, 3278, 3321, 3347, 3361, 3372, 3373, 3375, 3378, 3402, 3412, 3466, 3530, 3553, 3571, 3625, 3629, 3630, 3651, 3672, 3724, 3777, 3806, 3892, 3901, 3918, 3992]"
GSM6817428,"[65, 88, 111, 135, 140, 142, 160, 173, 193, 198, 204, 205, 218, 232, 240, 242, 243, 250, 301, 327, 335, 414, 499, 506, 528, 550, 570, 575, 594, 598, 631, 655, 717, 722, 759, 772, 813, 829, 937, 960, 969, 985, 991, 1037, 1044, 1051, 1065, 1068, 1073, 1078, 1098, 1120, 1124, 1210, 1244, 1253, 1267, 1280, 1306, 1319, 1326, 1334, 1336, 1346, 1363, 1370, 1407, 1469, 1488, 1495, 1537, 1541, 1560, 1561, 1594, 1596, 1647, 1654, 1696, 1702, 1709, 1712, 1729, 1752, 1763, 1781, 1813, 1824, 1855, 1870, 1905, 1992, 2001, 2015, 2041, 2093, 2101, 2113, 2126, 2136, 2142, 2186, 2218, 2223, 2264, 2306, 2308, 2318, 2335, 2349, 2353, 2367, 2394, 2407, 2409, 2468, 2475, 2476, 2488, 2493, 2509, 2515, 2525, 2528, 2591, 2593, 2594, 2600, 2622, 2628, 2635, 2636, 2647, 2648, 2651, 2667, 2691, 2723, 2726, 2728, 2762, 2766, 2781, 2789, 2850, 2951, 2978, 2979, 2987, 3005, 3015, 3034, 3062, 3087, 3096, 3111, 3141, 3142, 3169, 3174, 3197, 3199, 3202, 3209, 3220, 3272, 3273, 3281, 3287, 3292, 3311, 3330, 3347, 3396, 3401, 3428, 3434, 3477, 3481, 3500, 3525, 3533, 3551, 3559, 3586, 3612, 3613, 3614, 3646, 3658, 3679, 3704, 3715, 3744, 3751, 3808, 3835, 3838, 3855, 3870, 3958, 3961, 4013, 4022, 4083, 4102, 4156, 4166, 4174, 4326, 4335, 4339, 4345, 4354, 4365, 4390, 4393, 4442, 4481, 4507, 4508, 4552, 4565, 4578, 4587, 4591, 4600, 4641, 4643, 4659, 4697, 4746, 4765, 4772, 4776, 4777, 4783, 4808, 4816, 4838, 4847, 4867, 4869, 4951, 4980, 4986, 4997, 5000]"
