"","cluster","gene"
"1","0","NOG"
"2","0","AC008892.1"
"3","0","MMP28"
"4","0","RNF175"
"5","0","REG4"
"6","0","CACHD1"
"7","0","EDAR"
"8","0","NRCAM"
"9","0","AC007342.4"
"10","0","CD248"
"11","0","GP5"
"12","0","LRRN3"
"13","0","ROBO1"
"14","0","ADTRP"
"15","0","KRT73-AS1"
"16","0","GTSCR1"
"17","0","DSC1"
"18","0","AL034550.2"
"19","0","LEF1-AS1"
"20","0","ECRG4"
"21","1","AC243829.2"
"22","1","RORB"
"23","1","AC103702.2"
"24","1","PARD6G"
"25","1","ZNF683"
"26","1","EPHX4"
"27","1","SLC35G2"
"28","1","AC017002.3"
"29","1","NUAK1"
"30","1","KIF19"
"31","1","PROK2"
"32","1","CRYBG2"
"33","1","GZMH"
"34","1","LINC02086"
"35","1","TM4SF19"
"36","1","MYO3B"
"37","1","B3GAT1"
"38","1","MSC"
"39","1","TRGV9"
"40","1","GLB1L2"
"41","2","ADAM23"
"42","2","MYO16"
"43","2","GREM2"
"44","2","NEFL"
"45","2","TTC39C-AS1"
"46","2","TNFRSF4"
"47","2","IL2"
"48","2","CCR4"
"49","2","TPPP"
"50","2","ACE"
"51","2","FAM201A"
"52","2","LINC02754"
"53","2","LINC00511"
"54","2","AC127526.4"
"55","2","TRIM2"
"56","2","PTPN13"
"57","2","CHRNA1"
"58","2","CCR6"
"59","2","SGPP2"
"60","2","ST6GALNAC1"
"61","3","IGHV5-10-1"
"62","3","IGHV5-78"
"63","3","IGHV4-4"
"64","3","PAX5"
"65","3","AL079338.1"
"66","3","AL139020.1"
"67","3","LINC01013"
"68","3","IGKV2-29"
"69","3","ZNF860"
"70","3","VPREB3"
"71","3","AC108879.1"
"72","3","IGHV3-21"
"73","3","SOX5"
"74","3","MS4A1"
"75","3","DSP"
"76","3","COL19A1"
"77","3","COPDA1"
"78","3","LINC02397"
"79","3","AL161781.2"
"80","3","CD22"
"81","4","AC010967.1"
"82","4","SLC4A10"
"83","4","IL23R"
"84","4","ROR2"
"85","4","CXCR6"
