,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RPS26,0,0.844682592370335,0.914,0.882,0
HLA-B,0,-0.544418260081576,0.999,1,0
HLA-A,3.17218167098112e-309,-0.377659483835967,0.99,0.998,6.90710837039429e-305
MT-CO2,1.14815447047735e-272,0.241735805123831,1,1,2.49999154401738e-268
MT-ATP6,1.88516736900685e-202,0.236404802727497,1,1,4.10476342927552e-198
SNHG5,7.16649058085772e-171,-0.784383092056669,0.317,0.46,1.56043165907596e-166
TMSB10,7.80010457563445e-157,-0.250507760863683,0.998,0.998,1.69839477029864e-152
CYBA,2.59989611920593e-154,-0.485010121856523,0.661,0.765,5.661013809959e-150
TMSB4X,3.34448298424691e-145,-0.212617388015677,0.999,0.999,7.28227724989923e-141
MT-ND4L,4.66039708504558e-131,0.200770569102231,0.998,0.995,1.01475486129783e-126
MT-CYB,4.45677778225497e-126,0.190628983979914,0.999,0.997,9.70418794308196e-122
MT-CO3,5.20758164497959e-119,0.156303865006886,1,1,1.13389882737786e-114
RPL28,6.77885924058055e-110,-0.131924296642812,1,0.999,1.47602881104401e-105
HLA-DQB1,7.50170296814684e-110,-0.759885692497435,0.209,0.322,1.63342080428429e-105
TXNIP,1.45207282395469e-108,-0.321234948236,0.892,0.936,3.16174336687895e-104
PPDPF,1.49185782996645e-97,0.348272042171004,0.804,0.728,3.24837123896894e-93
RPL37A,5.18389736012769e-93,0.161538859024839,0.998,0.995,1.1287418111942e-88
ACTB,1.38940964721755e-91,-0.237505351954955,0.995,0.997,3.02530056585149e-87
PABPC1,1.04057692782019e-89,0.213981614388112,0.979,0.973,2.26575220263568e-85
ARPC1B,1.86093646036046e-88,-0.347608205061978,0.619,0.71,4.05200304878886e-84
AC253572.2,4.71736406290814e-88,-1.18973033142754,0.078,0.151,1.02715885105762e-83
KLF6,3.2650674565927e-87,-0.392604161831195,0.633,0.721,7.10935787998494e-83
MTRNR2L12,1.06060520446233e-86,0.174177278110301,0.996,0.986,2.30936177219629e-82
GAS5,2.17342741184092e-84,-0.377369464271166,0.664,0.739,4.73242084654243e-80
DUSP1,7.96908085853832e-83,-0.293169618504262,0.87,0.912,1.73518766613813e-78
AC004556.3,4.63878979565964e-82,-2.47413258731776,0.007,0.039,1.01005009010693e-77
RPS14,8.29788822521811e-79,0.137193347786051,1,0.999,1.80678218215899e-74
CORO1A,6.60909130940838e-78,-0.261418752528103,0.836,0.874,1.43906354171058e-73
CREM,2.41455365531325e-74,0.891774436419835,0.256,0.171,5.25744912907907e-70
CD55,2.69131023007931e-70,0.484422593703345,0.465,0.373,5.86005889497469e-66
RPLP0,1.41845228968329e-68,0.169857341699663,0.992,0.992,3.08853801555639e-64
RPS3,2.97773524540314e-68,0.130521283838877,0.999,0.999,6.4837207233408e-64
CCL3L1,1.27541424456231e-67,-2.41674851807864,0.019,0.057,2.77708697610998e-63
S1PR1,3.20093334193618e-67,0.704352777250221,0.265,0.181,6.96971225873185e-63
FAM153B,1.51638825751529e-65,2.42905642782294,0.043,0.009,3.3017837919138e-61
SARAF,1.05892483856703e-62,0.256361929280378,0.904,0.879,2.30570294349586e-58
LAIR2,1.34382500967718e-62,-1.22202029176674,0.057,0.109,2.9260445760711e-58
MT-ND3,6.7113816452811e-62,0.131164339016457,1,1,1.46133623944351e-57
GOLGA8B,1.39745502231735e-57,0.74049329041472,0.177,0.109,3.04281856559379e-53
RPS3A,3.68800379642134e-57,0.133952266982565,0.999,0.998,8.03025946632783e-53
EGR2,1.32817424160859e-56,-1.92998854971053,0.016,0.048,2.89196659367855e-52
ARID5A,1.59736748423611e-56,0.489289702016465,0.352,0.268,3.47810796017571e-52
ZNF331,3.07618511481677e-56,0.618244797448184,0.324,0.245,6.69808546900203e-52
POLR2J3,4.96673762499555e-56,-0.595206962516067,0.172,0.246,1.08145745046653e-51
EEF1A1,2.15652054900914e-55,0.115732345716584,1,0.999,4.6956078434125e-51
MT2A,1.1609924206845e-53,-0.567022919918904,0.315,0.389,2.52794489679843e-49
DCXR,2.9497186263849e-53,0.546069957657267,0.293,0.214,6.42271733709049e-49
RPL3,4.2203065559139e-53,0.135857059238357,0.995,0.992,9.18929549484693e-49
CCR7,4.05073031366315e-52,0.661261110107775,0.288,0.216,8.82006018497014e-48
JUN,1.03347357868767e-49,-0.243891463466576,0.738,0.803,2.25028537023454e-45
RPS5,1.20171242624677e-49,0.162793369302959,0.977,0.972,2.61660863690972e-45
EGR3,1.02840337867051e-48,-2.03255017668321,0.015,0.043,2.23924551671717e-44
B2M,1.42247625807742e-48,-0.138360507117834,1,1,3.09729980433777e-44
SLC7A5,1.58359860720834e-48,0.694389888966763,0.198,0.134,3.44812760733544e-44
ATP5F1E,2.42288706193002e-48,-0.173231458724088,0.949,0.96,5.27559428864642e-44
PFN1,4.67402134482466e-48,-0.202979943677824,0.959,0.97,1.01772140762212e-43
RPSA,1.86052530334121e-47,0.143599042483094,0.973,0.97,4.05110779549516e-43
TSC22D3,1.32006685772443e-46,-0.184766120266394,0.916,0.938,2.87431357600917e-42
LSP1,1.65322389698155e-46,-0.227203885611227,0.738,0.785,3.59972971328762e-42
PSPH,4.39302176534821e-44,-0.693839561487457,0.079,0.129,9.5653655918692e-40
FOS,9.66198438812201e-44,-0.350351788184895,0.782,0.827,2.10380048066969e-39
HIST1H4C,2.85705780263625e-43,0.32940494181802,0.589,0.528,6.22095765946017e-39
RNF125,6.19809000389465e-43,0.440733083069093,0.354,0.283,1.34957211744802e-38
LGALS1,1.05658513756644e-42,-0.436287686896833,0.356,0.427,2.30060847853717e-38
PPIA,1.28905182563078e-41,-0.153479786484862,0.929,0.94,2.80678144512846e-37
SNHG29,3.48378560059405e-41,0.205408631242319,0.803,0.757,7.58559476673348e-37
SH3BGRL3,4.44327655658038e-41,-0.176326114230533,0.896,0.933,9.67479037429813e-37
USP36,7.92238048406327e-41,0.542811553755669,0.232,0.168,1.72501912659994e-36
SYTL3,2.08186692875542e-40,0.470836753331629,0.311,0.243,4.53305705067204e-36
HLA-DPB1,2.08860171979385e-40,-0.417827709125693,0.428,0.5,4.54772138467913e-36
S100A6,3.77032141675301e-40,-0.309731054051441,0.789,0.824,8.209497852838e-36
ANXA1,3.96855956195517e-40,-0.299977608654604,0.424,0.498,8.64114159020118e-36
PIK3R1,8.97807087936606e-40,0.401617983165792,0.472,0.406,1.95488515327317e-35
EEF1B2,3.15976238277787e-39,0.146097133133776,0.954,0.938,6.88006661226054e-35
TOB1,4.90364424895889e-39,0.548463513788528,0.288,0.223,1.06771949876831e-34
RPL5,6.1540155537421e-38,0.116758118772859,0.992,0.987,1.3399753466718e-33
NQO2,6.49746321227959e-38,-0.706815265862242,0.079,0.124,1.41475763984176e-33
FKBP5,7.9295381003003e-38,0.481663735211006,0.259,0.196,1.72657762595939e-33
LINC01138,2.30263508815093e-37,-0.412988431484045,0.336,0.399,5.01375764093983e-33
TMEM176A,3.394666502936e-37,1.38454415801837,0.057,0.026,7.39154684349284e-33
GPR132,6.94424601864057e-37,0.752069482744682,0.118,0.072,1.5120401280988e-32
CLIC1,1.64979327241993e-36,-0.25273872535204,0.526,0.593,3.59225987136716e-32
AL135905.2,7.04617297461934e-36,0.490863209496364,0.251,0.19,1.53423370349361e-31
ABO,2.20964761222734e-35,2.24552154544949,0.023,0.004,4.81128671086381e-31
